FSCS Key,Library Name,Library Type,% Adult Fiction,% Adult Non-Fiction,% Young Adult Fiction,% Young Adult Non-Fiction,% Juvenile Fiction,% Juvenile Non-Fiction,% Circulation Physical,% Circulation Digital,Circulation Per Borrower,Collection Expenditure Per Use,Total Income Per Use ($),Collection Use Per Capita,Auto Renewals Offered,Fines Adult Materials,Fines Young Adult Materials,Fines Juvenile Materials,Fines A/V Materials
NC0106,LINCOLN COUNTY PUBLIC LIBRARY,County,0.17521157101092477,0.043169718418218185,0.01694106785659332,-3.0773965225419294e-06,0.28525003846745656,0.057356516387136486,0.6506570241575627,0.3485305431604862,5.56736,0.9802061855670103,7.15102520387752,3.62846,No,No,No,No,No
NC0043,MADISON COUNTY PUBLIC LIBRARY,County,0.17064941435380057,0.06905786197707793,0.0170556612465945,0.002207359189706945,0.21958915278505095,0.04410741155648652,0.6439788146547438,0.35319072776566196,12.99388,0.3710882347092318,3.7703196362165996,7.03437,Yes,No,No,No,No
NC0044,MCDOWELL COUNTY PUBLIC LIBRARY,County,0.2256204825598262,0.08694471363055595,0.021763954299399424,0.0006048971983383844,0.15550178691570327,0.031016412465820223,0.7261297072421008,0.27255556721457186,9.06964,0.5108974082006777,6.464285758374431,3.62538,Yes,Yes,Yes,Yes,Yes
NC0083,MOORESVILLE PUBLIC LIBRARY,Municipal,0.12612305044713,0.051109028646277865,0.02662574507146764,0.0021476870125029177,0.3014373652252372,0.09319533326598224,0.6776814734561214,0.32229588264188147,9.09115,0.6915203812536361,6.033793410972886,10.92599,Yes,No,No,No,No
NC0011,NANTAHALA REGIONAL LIBRARY,Regional,0.4240253958422051,0.06968371336765901,0.020022453640974023,0.0004955286283922418,0.16382641012736635,0.04424141535364485,0.8986256823196934,0.10046068677170841,25.66163,0.6829236189075142,8.39056947079091,2.6759,No,No,No,No,No
NC0012,NEUSE REGIONAL LIBRARY,Regional,0.2035421599781696,0.07149899210408175,0.025487883242520003,0.0087321637632809,0.13702983195866306,0.03671557969419822,0.5266718308495374,0.45457866429583726,5.19245,0.6810867670748132,10.331818349867522,2.69915,Yes,Yes,No,No,Yes
NC0047,NEW HANOVER COUNTY PUBLIC LIBRARY,County,0.16650377048727294,0.059758740700677285,0.016329472515288084,0.0009728652375793308,0.17279552967013384,0.03200924024582753,0.5143315739042013,0.48396351501568147,14.58656,0.34470222710002124,2.9109524266078926,7.7111,Yes,Yes,No,No,Yes
NC0013,NORTHWESTERN REGIONAL LIBRARY,Regional,0.34533025806323947,0.07947916826989673,0.032116637460395635,0.0006354287825052604,0.28769972582017583,0.06496544718575409,0.8833141678631343,0.11125500482618055,6.57764,0.19528111677158205,5.7624321971104475,2.76365,Yes,No,No,No,Yes
NC0048,ONSLOW COUNTY PUBLIC LIBRARY,County,0.12406331334600275,0.0424116266428448,0.02312237780409045,0.002331621136847901,0.23991960120851014,0.051038624849182035,0.5694071642570907,0.4278861887967009,18.05928,0.26409682688836733,3.579688279109096,3.4472,Yes,Yes,Yes,Yes,Yes
NC0108,ORANGE COUNTY PUBLIC LIBRARY,County,0.11961819455564451,0.048588871096877505,0.02795986789431545,0.0026821457165732586,0.3073733987189752,0.05893714971977582,0.6203337670136109,0.37124949959967973,7.69044,0.8990342273819055,6.3811439651721376,4.47605,No,No,No,No,No
NC0049,PENDER COUNTY PUBLIC LIBRARY,County,0.19126895308646866,0.07342226799903605,0.025544782598648483,0.000524892793122914,0.3002782922167312,0.07295349581901432,0.7056704927719951,0.2917545614504207,31.82925,0.2831912161336859,3.1519251020899977,4.80992,Yes,Yes,Yes,Yes,Yes
NC0062,H. LESLIE PERRY MEMORIAL LIBRARY,County,0.23988534891412192,0.07266747510381068,0.056645720795208174,0.0014515121449307315,0.2726270532466101,0.0419836107742623,0.7308088046154412,0.257579098225113,3.33779,1.4394039613420058,19.60020192555029,1.28758,Yes,No,No,No,No
NC0109,PERSON COUNTY PUBLIC LIBRARY,County,0.22863140975701762,0.05636239882568085,0.020550585109436376,0.0025585724477829807,0.3904201143157049,0.09097693184520636,0.8352426953576672,0.1637076338945245,17.38814,0.6158205063021248,5.546496231846026,3.08826,Yes,Yes,No,No,Yes
NC0014,PETTIGREW REGIONAL LIBRARY,Regional,0.3380794178136371,0.04769814902705268,0.025174023097611138,0.0006130359120392343,0.19082225913621262,0.04952736908716975,0.8050249169435216,0.17982716342350893,4.54891,0.6439546748932131,12.282471127986078,2.46836,No,Yes,Yes,Yes,Yes
NC0051,POLK COUNTY PUBLIC LIBRARIES,County,0.18863296812749003,0.11234437250996016,0.01873132470119522,0.0015064741035856575,0.17048680278884462,0.04063122509960159,0.8030751992031873,0.18784860557768923,15.11621,0.4271538844621514,5.874994148406375,8.2131,Yes,Yes,Yes,Yes,Yes
NC0041,PUBLIC LIBRARY OF JOHNSTON COUNTY & SMITHFIELD,County,0.2178120484211025,0.060198674973744266,0.03825440819968572,0.0028940531747723847,0.23488419839070113,0.06381130615371253,0.6597691074629458,0.3208490275507545,3.0262,0.3474443102045973,6.046054927786859,1.27613,Yes,Yes,Yes,Yes,Yes
NC0052,RANDOLPH PUBLIC LIBRARY,County,0.22429762153059413,0.07156780195643721,0.024904791700462715,0.0022736694656233024,0.21666808288207562,0.05015462497328503,0.7238354203198587,0.27541269804485025,2.77318,0.7551981542850816,9.060269982155686,2.67767,No,No,No,No,No
NC0088,ROANOKE RAPIDS PUBLIC LIBRARY,Municipal,0.4072727272727273,0.05187878787878788,0.021737373737373736,0.004767676767676768,0.1798787878787879,0.03814141414141414,0.7945858585858586,0.20137373737373737,0,2.1791515151515153,19.53795313131313,0.8197,No,Yes,Yes,Yes,Yes
NC0053,ROBESON COUNTY PUBLIC LIBRARY,County,0.11690712680345103,0.028818966142246067,0.01695477001791799,0.0008544706942444926,0.1631831881596255,0.020652297749375978,0.4158631189733923,0.5841368810266077,18.17431,0.41950368199190063,6.85641676419716,1.65774,Yes,No,No,No,No
NC0054,ROCKINGHAM COUNTY PUBLIC LIBRARY,County,0.33625927046452486,0.06829685110836733,0.024334202801376974,0.0017988994006394269,0.15042478556301464,0.030393223055348865,0.7481050230177355,0.24775341995306507,6.05656,0.8944168704056518,7.539372184109177,2.66715,No,Yes,Yes,Yes,Yes
NC0055,ROWAN PUBLIC LIBRARY,County,0.21749935457800626,0.07731369753841665,0.02367071131116075,0.0028667961252230915,0.21481215413799684,0.05597997508109868,0.6551987338504193,0.3326359034224203,4.73847,0.6109957458272065,10.219712871398265,3.01386,Yes,Yes,Yes,Yes,Yes
NC0056,RUTHERFORD COUNTY LIBRARY,County,0.22723148316179712,0.054535555958831305,0.01898737458844269,0.0013169833821585046,0.20625826355222565,0.04065538070671195,0.7301895107977082,0.26400331838332514,7.05793,0.5115910092551785,4.510782360718638,3.00118,No,Yes,Yes,Yes,Yes
NC0057,SAMPSON-CLINTON PUBLIC LIBRARY,County,0.3849823306794543,0.06457029716204814,0.0154220168923717,0.0005263201864677232,0.33566696463629603,0.04685085088430146,0.8833490672436696,0.11493830357814185,6.55167,0.5770307187194547,7.21413295014996,2.02814,Yes,Yes,Yes,Yes,Yes
NC0015,SANDHILL REGIONAL LIBRARY SYSTEM,Regional,0.14571940739914066,0.03343493666648067,0.01609668824284359,0.0007969002845823336,0.18634039674125327,0.03371045142570169,0.43499072317393,0.5626395011439094,7.1971,0.38666752692372075,5.488562615088444,2.70321,Yes,Yes,Yes,Yes,Yes
NC0058,SCOTLAND COUNTY MEMORIAL LIBRARY,County,0.3387374755353022,0.08456752256594514,0.035492069056173865,0.0018987526655566266,0.1452983962842871,0.03739082172173049,0.7291502351532148,0.2695060321911606,2.48101,1.64753308211375,13.646832004206468,1.02827,No,Yes,Yes,Yes,Yes
NC0050,SHEPPARD MEMORIAL LIBRARY,County,0.16672396012375387,0.06171155686453039,0.021426514173162506,0.0014549441156522628,0.294796205624669,0.05993700816664034,0.6386238421302017,0.36105655328756053,8.17023,0.47059173301868384,4.582995921325244,3.21131,No,Yes,Yes,Yes,Yes
NC0093,SOUTHERN PINES PUBLIC LIBRARY,Municipal,0.15224886596429615,0.0457089552238806,0.013946810067310507,0.0012483538191395962,0.24554159350307286,0.06439768071407667,0.5627652180275096,0.4372347819724905,30.77512,0.522790459467369,4.447367939713199,13.7014,Yes,Yes,Yes,Yes,Yes
NC0059,STANLY COUNTY PUBLIC LIBRARY,County,0.3452768983033707,0.04539125158499872,0.013162296089428933,0.0003267236617943352,0.23471205532520673,0.042100677562641485,0.7447043539817502,0.2498424725202063,3.89519,0.7733082326583638,11.457897455445005,2.05156,No,Yes,Yes,Yes,Yes
NC0060,TRANSYLVANIA COUNTY LIBRARY,County,0.19360251136609655,0.09188677202857762,0.021400736090062784,0.00203777873998701,0.18339196795843257,0.07319224940463304,0.7270946092227755,0.26510878978133795,18.8781,0.49652792812297036,4.0080401602078375,11.07641,Yes,Yes,No,No,Yes
NC0061,UNION COUNTY PUBLIC LIBRARY,County,0.12879011923275366,0.042867555460110306,0.02359267041147721,0.0014004366013523905,0.24129458943730475,0.03902750188135327,0.5362971509896328,0.4635117562967324,5.78555,0.4327321799219796,5.054019180248657,4.52337,Yes,Yes,Yes,Yes,Yes
NC0063,WAKE COUNTY PUBLIC LIBRARIES,County,0.1439252665448305,0.08166956949969616,0.028614083597073223,0.0005851787595452755,0.3776982981341297,0.0824446936889925,0.7208549539801191,0.2791450460198808,29.26928,0.3791507697966812,2.6191439475743086,9.23255,Yes,No,No,No,No
NC0101,WARREN COUNTY MEMORIAL LIBRARY,County,0.1283088786256318,0.030966880560210353,0.004536722932930069,0.006743777332733887,0.07548943474884538,0.013378564324736721,0.3222571899565401,0.6770479966212994,10.27306,0.28500974101170284,7.699500006811896,3.89395,No,No,No,No,No
NC0065,WAYNE COUNTY PUBLIC LIBRARY,County,0.2606188339647526,0.06468922535848666,0.01776593956477327,0.011805169448790391,0.21260080080338942,0.06617187533672102,0.698332449777387,0.2960989927462212,4.95117,0.9230659822340604,10.788204010912994,1.97189,Yes,Yes,Yes,Yes,Yes
NC0066,WILSON COUNTY PUBLIC LIBRARY,County,0.23170006294223838,0.07534393437407057,0.03156795340891013,0.001449054828914696,0.2812169293871086,0.0534697773504776,0.7412693581966703,0.2587306418033297,9.73976,0.453014656549797,7.573774182615493,3.68072,Yes,No,No,No,No
